2020_Wal_Denbighshire_Summer Half Term Holidays,2020-05-25,2020-05-30
2020_Wal_Denbighshire_Summer Holidays,2020-07-20,2020-12-31
2020_Wal_Flintshire_Spring Half Term Holidays,2020-02-17,2020-02-22
2020_Wal_Flintshire_Spring Holidays,2020-04-06,2020-04-18
2020_Wal_Flintshire_Summer Half Term Holidays,2020-05-25,2020-05-30
2020_Wal_Flintshire_Summer Holidays,2020-07-21,2020-12-31
2020_Wal_Gwynedd_Spring Half Term Holidays,2020-02-17,2020-02-22
2020_Wal_Gwynedd_Spring Holidays,2020-04-06,2020-04-18
2020_Wal_Gwynedd_Summer Half Term Holidays,2020-05-25,2020-05-30
2020_Wal_Gwynedd_Summer Holidays,2020-07-21,2020-09-01
2020_Wal_Isle of Anglesey_Spring Half Term Holidays,2020-02-17,2020-02-22
2020_Wal_Isle of Anglesey_Spring Holidays,2020-04-06,2020-04-18
2020_Wal_Isle of Anglesey_Summer Half Term Holidays,2020-05-25,2020-05-30
2020_Wal_Isle of Anglesey_Summer Holidays,2020-07-21,2020-12-31
2020_Wal_Merthyr Tydfil_Spring Half Term Holidays,2020-02-17,2020-02-22
2020_Wal_Merthyr Tydfil_Spring Holidays,2020-04-06,2020-04-18
2020_Wal_Merthyr Tydfil_Summer Half Term Holidays,2020-05-25,2020-05-30
2020_Wal_Merthyr Tydfil_Summer Holidays,2020-07-21,2020-12-31
2020_Wal_Monmouthshire_Spring Half Term Holidays,2020-02-17,2020-02-22
2020_Wal_Monmouthshire_Spring Holidays,2020-04-06,2020-04-18
2020_Wal_Monmouthshire_Summer Half Term Holidays,2020-05-25,2020-05-30
2020_Wal_Monmouthshire_Summer Holidays,2020-07-21,2020-12-31
2020_Wal_Neath Port Talbot_Spring Half Term Holidays,2020-02-17,2020-02-22
2020_Wal_Neath Port Talbot_Spring Holidays,2020-04-06,2020-04-18
2020_Wal_Neath Port Talbot_Summer Half Term Holidays,2020-05-25,2020-05-30
2020_Wal_Neath Port Talbot_Summer Holidays,2020-07-21,2020-12-31
2020_Wal_Newport_Spring Half Term Holidays,2020-02-17,2020-02-22
2020_Wal_Newport_Spring Holidays,2020-04-06,2020-04-18
2020_Wal_Newport_Summer Half Term Holidays,2020-05-25,2020-05-30
2020_Wal_Newport_Summer Holidays,2020-07-21,2020-12-31
2020_Wal_Pembrokeshire_Spring Half Term Holidays,2020-02-17,2020-02-22
2020_Wal_Pembrokeshire_Spring Holidays,2020-04-06,2020-04-18
2020_Wal_Pembrokeshire_Summer Half Term Holidays,2020-05-25,2020-05-30
2020_Wal_Pembrokeshire_Summer Holidays,2020-07-20,2020-12-31
2020_Wal_Powys_Spring Half Term Holidays,2020-02-17,2020-02-22
2020_Wal_Powys_Spring Holidays,2020-04-06,2020-04-21
2020_Wal_Powys_Summer Half Term Holidays,2020-05-25,2020-05-30
2020_Wal_Powys_Summer Holidays,2020-07-20,2020-12-31
"2020_Wal_Rhondda, Cynon, Taff_Spring Half Term Holidays",2020-02-17,2020-02-22
"2020_Wal_Rhondda, Cynon, Taff_Spring Holidays",2020-04-06,2020-04-18
"2020_Wal_Rhondda, Cynon, Taff_Summer Half Term Holidays",2020-05-25,2020-05-30
"2020_Wal_Rhondda, Cynon, Taff_Summer Holidays",2020-07-20,2020-12-31
2020_Wal_Swansea_Spring Half Term Holidays,2020-02-17,2020-02-22
2020_Wal_Swansea_Spring Holidays,2020-04-06,2020-04-18
2020_Wal_Swansea_Summer Half Term Holidays,2020-05-25,2020-05-30
2020_Wal_Swansea_Summer Holidays,2020-07-21,2020-12-31
2020_Wal_The Vale of Glamorgan_Spring Half Term Holidays,2020-02-17,2020-02-22
2020_Wal_The Vale of Glamorgan_Spring Holidays,2020-04-06,2020-04-18
2020_Wal_The Vale of Glamorgan_Summer Half Term Holidays,2020-05-25,2020-05-30
2020_Wal_The Vale of Glamorgan_Summer Holidays,2020-07-21,2020-12-31
2020_Wal_Torfaen_Spring Half Term Holidays,2020-02-17,2020-02-22
2020_Wal_Torfaen_Spring Holidays,2020-04-06,2020-04-18
2020_Wal_Torfaen_Summer Half Term Holidays,2020-05-25,2020-05-30
2020_Wal_Torfaen_Summer Holidays,2020-07-21,2020-12-31
2020_Wal_Wales_August Bank Holiday,2020-08-31,2020-09-01
2020_Wal_Wales_Boxing Day,2020-12-26,2020-12-27
2020_Wal_Wales_Boxing Day Holiday,2020-12-28,2020-12-29
2020_Wal_Wales_Christmas Day,2020-12-25,2020-12-26
2020_Wal_Wales_Easter Monday,2020-04-13,2020-04-14
2020_Wal_Wales_Good Friday,2020-04-10,2020-04-11
2020_Wal_Wales_Late May Bank Holiday,2020-05-25,2020-05-26
2020_Wal_Wales_May Day,2020-05-04,2020-05-05
2020_Wal_Wales_New Year's Day,2020-01-01,2020-01-02
2020_Wal_Wrexham_Spring Half Term Holidays,2020-02-17,2020-02-22
2020_Wal_Wrexham_Spring Holidays,2020-04-06,2020-04-18
2020_Wal_Wrexham_Summer Half Term Holidays,2020-05-25,2020-05-30
2020_Wal_Wrexham_Summer Holidays,2020-07-21,2020-12-31
